                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99015,                 1.9994,                 0.8873,                 1.0122,                0.88524,                0.75363,                0.87026,                0.74464,                0.88392,                0.74567,                0.85772,                0.65572,                0.79645,                 1.0177,                0.66411,                0.91401,             3.7297e-05,             3.7297e-05,             3.7297e-05
                      2,                0.95335,                 1.9339,                0.85237,                  0.997,                0.86275,                0.76531,                0.87198,                0.73468,                0.87239,                0.75116,                0.84948,                0.65577,                0.80378,                 1.0243,                0.65386,                0.91278,             7.5481e-05,             7.5481e-05,             7.5481e-05
                      3,                0.99133,                 1.9837,                0.87048,                 1.0061,                0.85018,                0.76457,                0.87175,                0.72813,                0.92332,                0.72364,                0.84797,                0.64744,                0.83395,                 1.0418,                0.68568,                0.93093,             0.00011351,             0.00011351,             0.00011351
                      4,                 0.9838,                 1.9558,                0.83501,                0.99599,                0.76756,                0.83593,                0.85038,                 0.7113,                0.75881,                0.82434,                0.82799,                0.65866,                0.83798,                 1.0313,                0.69146,                0.92691,             0.00011432,             0.00011432,             0.00011432
                      5,                0.96576,                 1.9176,                0.85525,                 1.0007,                0.72301,                0.86306,                  0.876,                0.71709,                0.71792,                0.85389,                0.85158,                0.62942,                0.82975,                 1.0499,                0.67646,                0.92528,             0.00011432,             0.00011432,             0.00011432
                      6,                0.97582,                 1.9228,                0.84757,                 1.0074,                0.86031,                0.76473,                0.86758,                0.71821,                0.81509,                0.73865,                 0.8413,                0.62582,                0.85035,                 1.0513,                0.68098,                0.94043,             0.00011409,             0.00011409,             0.00011409
                      7,                0.97908,                 1.9209,                0.88235,                  1.012,                0.87865,                0.75187,                0.86724,                0.73099,                0.82549,                0.72902,                 0.8309,                0.63004,                0.85393,                  1.032,                0.68963,                0.93708,             0.00011386,             0.00011386,             0.00011386
                      8,                0.97345,                 1.9521,                0.87909,                 1.0032,                 0.8584,                0.78255,                0.86832,                0.74514,                0.78917,                0.74303,                0.82404,                0.64326,                0.84558,                  1.035,                0.69141,                0.92378,             0.00011363,             0.00011363,             0.00011363
                      9,                0.97392,                 1.9353,                0.85628,                 1.0021,                0.71472,                0.86002,                0.87111,                0.74371,                0.65413,                 0.8292,                0.83379,                0.63957,                0.81615,                 1.0262,                0.66039,                0.91247,             0.00011341,             0.00011341,             0.00011341
                     10,                 1.0016,                 2.0037,                0.87714,                  1.013,                0.87606,                0.77467,                0.87846,                0.74045,                 0.8802,                 0.7418,                0.85568,                0.64242,                0.83435,                 1.0307,                0.67921,                0.92622,             0.00011318,             0.00011318,             0.00011318
                     11,                0.96199,                 1.9607,                0.87536,                 1.0094,                0.82449,                0.78458,                0.86732,                 0.7334,                0.90636,                0.71348,                0.83644,                0.65183,                0.85004,                 1.0652,                 0.7056,                 0.9347,             0.00011295,             0.00011295,             0.00011295
